学生姓名,生源地,毕业去向,就业单位名称/征兵办名称/项目名称/创业单位名称/升学院校名称/境外单位名称,单位/征兵办/项目/院校所属地区,单位/征兵办/项目/院校所属地区.1,岗位名称/专业名称/工作内容,职业类型,薪酬,签约时间/入伍时间/创业时间/就业时间/入学、入职时间,专业与就业相关度,院系,专业名称,学历
,广东省揭阳市普宁市,其他录用形式就业,普宁市占陇华南学校,广东省普宁市,广东省普宁市,老师,教学人员,3000.0,2021-02-25,匹配,学前教育学院,学前教育-5年制,专科
,广东省阳江市阳东区,签劳动合同形式就业,广州昭阳和牧场广告有限公司,广东省广州市越秀区,广东省广州市越秀区,设计师,其他人员,3000.0,2021-07-30,匹配,艺术设计学院,艺术设计,专科
,广东省广州市,签就业协议形式就业,广州市行发贸易有限公司,广东省广州市番禺区,广东省广州市番禺区,运营助理,其他专业技术人员,4500.0,2021-03-13,比较匹配,外语外贸学院,电子商务,专科
,广东省肇庆市怀集县,境内升学,广东白云学院,广东省广州市白云区,广东省广州市白云区,工商管理,其他人员,,2021-09-01,,外语外贸学院,旅游英语,专科
,广东省河源市连平县,境内升学,韩山师范学院,广东省潮州市湘桥区,广东省潮州市湘桥区,小学教育,其他人员,,2021-09-01,,基础教育学院,小学教育,专科
,广东省清远市英德市,其他录用形式就业,清远市徽远农业科技有限公司,广东省连州市,广东省连州市,设计师助理,其他人员,2800.0,2021-04-01,一般匹配,艺术设计学院,艺术设计-2年制,专科
,广东省韶关市翁源县,签就业协议形式就业,广州市车陂幼儿园,广东省广州市天河区,广东省广州市天河区,老师,教学人员,2200.0,2021-03-01,很匹配,学前教育学院,学前教育-2年制,专科
,广东省清远市英德市,其他录用形式就业,广州市荔湾区白鹤幼儿园,广东省广州市荔湾区,广东省广州市荔湾区,教师,教学人员,3000.0,2021-02-19,很匹配,学前教育学院,学前教育-2年制,专科
,广东省汕尾市陆丰市,其他录用形式就业,广州博学汇教育发展有限公司,广东省广州市天河区,广东省广州市天河区,海明路20号209房,教学人员,3300.0,2021-03-10,匹配,基础教育学院,英语教育-5年制,专科
,广东省梅州市兴宁市,其他录用形式就业,极在设计（广州）有限公司,广东省广州市黄埔区,广东省广州市黄埔区,设计师,文学艺术工作人员,3000.0,2021-03-03,匹配,艺术设计学院,艺术设计-2年制,专科
,湖南省郴州市永兴县,签劳动合同形式就业,韶关市浈江区海曼钢琴艺术培训有限公司,广东省韶关市浈江区,广东省韶关市浈江区,古筝老师,教学人员,3000.0,2021-08-01,很匹配,音乐舞蹈学院,表演艺术-5年制,专科
,广东省茂名市高州市,签就业协议形式就业,广州市雅淇家具制造有限公司,广东省广州市白云区,广东省广州市白云区,外贸业务员,其他人员,4000.0,2021-04-25,匹配,外语外贸学院,国际贸易实务,专科
,广西壮族自治区梧州市藤县,待就业,,,,,,,,,学前教育学院,学前教育-2年制,专科
,广东省茂名市电白区,签劳动合同形式就业,珠海瑞鑫装饰工程有限公司,广东省珠海市香洲区,广东省珠海市香洲区,设计师助理,其他专业技术人员,5000.0,2021-04-22,比较匹配,艺术设计学院,艺术设计-2年制,专科
,广东省广州市海珠区,签劳动合同形式就业,广州远界影视传媒有限公司,广东省广州市番禺区,广东省广州市番禺区,媒介部视频剪辑实习生,新闻出版和文化工作人员,4300.0,2021-08-01,很匹配,信息学院,数字媒体应用技术-2年制,专科
,广东省深圳市罗湖区,签劳动合同形式就业,广东颐禾贸易有限公司,广东省深圳市龙岗区,广东省深圳市龙岗区,美工,其他人员,4000.0,2021-03-10,比较匹配,信息学院,数字媒体应用技术（游戏动画）,专科
,河南省南阳市内乡县,自主创业,二森x,广东省深圳市,广东省深圳市,,其他人员,5000.0,2021-12-12,一般匹配,音乐舞蹈学院,舞蹈表演-5年制,专科
,广东省湛江市雷州市,境内升学,广州华立学院,广东省广州市增城区,广东省广州市增城区,环境设计,其他人员,,2021-08-28,,艺术设计学院,艺术设计-2年制,专科
,广东省清远市连山壮族瑶族自治县,其他录用形式就业,顺德区北滘镇花儿艺术培训中心,广东省佛山市顺德区,广东省佛山市顺德区,舞蹈教师,教学人员,5000.0,2021-03-01,很匹配,艺术教育学院,舞蹈教育-5年制,专科
,广东省东莞市,境内升学,韩山师范学院,广东省潮州市湘桥区,广东省潮州市湘桥区,美术学,其他人员,,2021-09-01,,艺术设计学院,玉器设计与工艺,专科
,广东省清远市清城区,境内升学,广州新华学院,广东省东莞市,广东省东莞市,汉语言文学,其他人员,,2021-08-29,,公共管理学院,文秘,专科
,广东省汕头市潮阳区,境内升学,广东白云学院,广东省广州市白云区,广东省广州市白云区,视觉传达设计,其他人员,,2021-09-01,,艺术设计学院,艺术设计,专科
,广东省茂名市信宜市,签劳动合同形式就业,广东万胜达酒店管理有限公司,广东省湛江市赤坎区,广东省湛江市赤坎区,酒店前台,其他人员,2100.0,2021-03-14,不匹配,信息学院,计算机应用技术（移动应用）,专科
,广东省韶关市,签就业协议形式就业,东莞市塘厦东林装饰材料店,广东省东莞市,广东省东莞市,营业员,其他人员,5000.0,2021-04-25,一般匹配,学前教育学院,学前教育,专科
,广东省广州市南沙区,签劳动合同形式就业,广州茶花家庭用品有限公司,广东省广州市,广东省广州市,人事助理,其他人员,4500.0,2020-11-16,匹配,公共管理学院,人力资源管理,专科
,河南省商丘市夏邑县,自主创业,手工批发商,浙江省金华市义乌市,浙江省金华市义乌市,,商业和服务业人员,6000.0,2021-08-05,一般匹配,基础教育学院,英语教育,专科
,广东省韶关市南雄市,签劳动合同形式就业,广东壹号食品股份有限公司,广东省广州市天河区,广东省广州市天河区,人事专员,其他人员,3800.0,2021-06-21,匹配,公共管理学院,人力资源管理,专科
,广东省梅州市丰顺县,签劳动合同形式就业,广州市荣耀电子科技有限公司,广东省广州市白云区,广东省广州市白云区,外贸业务员,商业和服务业人员,4000.0,2021-05-17,比较匹配,外语外贸学院,商务英语,专科
,广东省惠州市龙门县,签就业协议形式就业,龙门县龙城第五小学,广东省惠州市龙门县,广东省惠州市龙门县,语文教师,教学人员,3000.0,2021-07-27,很匹配,基础教育学院,语文教育,专科
,广东省广州市越秀区,其他录用形式就业,广州市荔湾区骏朗青少年体育俱乐部,广东省广州市荔湾区,广东省广州市荔湾区,教师,教学人员,3500.0,2021-02-24,匹配,艺术教育学院,舞蹈教育,专科
,广东省云浮市云安区,签劳动合同形式就业,佛山优业财务咨询有限公司,广东省佛山市禅城区,广东省佛山市禅城区,行政人事,其他人员,2500.0,2021-07-13,比较匹配,公共管理学院,文秘,专科
,广东省佛山市禅城区,签就业协议形式就业,广州翰林塑胶制品有限公司,广东省广州市番禺区,广东省广州市番禺区,运营电商,商业和服务业人员,4000.0,2021-03-10,匹配,外语外贸学院,国际贸易实务,专科
,福建省漳州市诏安县,境内升学,广东技术师范大学,广东省广州市白云区,广东省广州市白云区,学前教育,其他人员,,2021-08-28,,学前教育学院,学前教育,专科
,广东省揭阳市普宁市,其他录用形式就业,东莞市恒发企业代理有限公司,广东省东莞市,广东省东莞市,平面设计,商业和服务业人员,3500.0,2021-03-18,匹配,艺术设计学院,艺术设计-2年制,专科
,广东省揭阳市惠来县,签劳动合同形式就业,智美移动广告科技（深圳）有限公司,广东省深圳市南山区,广东省深圳市南山区,平面设计,文学艺术工作人员,5500.0,2021-04-06,很匹配,艺术设计学院,艺术设计-2年制,专科
,广东省中山市,自主创业,广州潮客生活贸易有限公司,广东省广州市黄埔区,广东省广州市黄埔区,,商业和服务业人员,6000.0,2021-05-25,一般匹配,外语外贸学院,应用韩语,专科
,江西省赣州市信丰县,境内升学,韩山师范学院,广东省潮州市湘桥区,广东省潮州市湘桥区,英语,其他人员,,2021-09-01,,基础教育学院,英语教育,专科
,湖北省襄阳市谷城县,签劳动合同形式就业,江门市乐动艺术文化传播有限公司,广东省江门市新会区,广东省江门市新会区,教师,教学人员,3550.0,2021-07-26,比较匹配,学前教育学院,学前教育-2年制,专科
,广东省佛山市,签就业协议形式就业,佛山市佳粤影视文化传媒有限公司,广东省佛山市三水区,广东省佛山市三水区,编导教师,教学人员,3800.0,2021-08-01,匹配,学前教育学院,学前教育-2年制,专科
,广东省清远市佛冈县,签就业协议形式就业,广州创臻教育咨询有限公司,广东省广州市白云区,广东省广州市白云区,辅导老师,其他人员,3000.0,2021-03-25,一般匹配,外语外贸学院,商务英语,专科
,广东省汕头市潮阳区,签劳动合同形式就业,诚伯信息有限公司,广东省广州市番禺区,广东省广州市番禺区,后期剪辑,其他专业技术人员,5000.0,2021-07-23,很匹配,艺术设计学院,影视动画-2年制,专科
,广东省广州市,待就业,,,,,,,,,学前教育学院,学前教育-2年制,专科
,广东省茂名市,其他录用形式就业,广州市荔湾区小绿堡保利曼城幼儿园,广东省广州市越秀区,广东省广州市越秀区,幼儿教师,教学人员,3000.0,2021-05-01,匹配,学前教育学院,学前教育-2年制,专科
,广东省湛江市徐闻县,签劳动合同形式就业,广州酷思纬哲网络科技有限公司,广东省广州市天河区,广东省广州市天河区,课程策划,其他人员,4800.0,2021-07-01,不匹配,外语外贸学院,电子商务,专科
,广东省江门市江海区,其他录用形式就业,江门市江海区外海浩瀚幼儿园,广东省江门市江海区,广东省江门市江海区,副班,教学人员,2600.0,2021-04-19,很匹配,学前教育学院,早期教育,专科
,广东省揭阳市榕城区,境内升学,韩山师范学院,广东省潮州市,广东省潮州市,美术学,其他人员,,2021-09-01,,艺术教育学院,美术教育,专科
,广东省揭阳市普宁市,其他录用形式就业,广东睿迪未来教育科技有限公司,广东省佛山市顺德区,广东省佛山市顺德区,教师,教学人员,4000.0,2021-05-29,匹配,学前教育学院,早期教育,专科
,湖南省郴州市汝城县,其他录用形式就业,深圳沙玛文化有限公司,广东省深圳市宝安区,广东省深圳市宝安区,后期设计师,其他专业技术人员,4500.0,2021-01-01,匹配,信息学院,数字展示技术,专科
,广东省揭阳市普宁市,签就业协议形式就业,深圳市娱生活科技有限公司,广东省深圳市龙岗区,广东省深圳市龙岗区,中控员,其他人员,5000.0,2021-04-01,一般匹配,外语外贸学院,应用英语,专科
,广东省中山市,其他录用形式就业,中山市黄圃镇翰林教育培训中心,广东省中山市,广东省中山市,教师助理,办事人员和有关人员,3500.0,2020-11-01,比较匹配,公共管理学院,文秘,专科
,广东省湛江市坡头区,自主创业,东莞市道滘易艺音乐工作室,广东省东莞市,广东省东莞市,,文学艺术工作人员,5000.0,2020-06-19,比较匹配,音乐舞蹈学院,音乐制作,专科
,广东省江门市开平市,其他录用形式就业,广州宇葳化工科技有限公司,广东省广州市天河区,广东省广州市天河区,人事助理,其他人员,3000.0,2021-02-25,比较匹配,公共管理学院,人力资源管理,专科
,广东省揭阳市榕城区,自主创业,U缘,广东省中山市,广东省中山市,,商业和服务业人员,2000.0,2021-08-19,不匹配,艺术教育学院,音乐教育-5年制,专科
,广东省梅州市丰顺县,自由职业,,广东省梅州市丰顺县,广东省梅州市丰顺县,家教,教学人员,3000.0,2021-08-01,一般匹配,公共管理学院,人力资源管理,专科
,广东省清远市连州市,签就业协议形式就业,东莞市利滔电子科技有限公司,广东省东莞市,广东省东莞市,办公室助理,办事人员和有关人员,4000.0,2020-11-16,一般匹配,公共管理学院,人力资源管理,专科
